segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
65,0.0,1.0,CADC0872,1,189,190,7.0171540421052645e-06,7.616527140263473e-10,2.759805634508248e-05,-1.0739005137153346,-0.3149010869319039,1,1,1,58,68,1.0784858541917028e-12,1.1094434853895177e-12,189,190,4.029908539821943e-12,4.008698494875512e-12
67,0.0,1.0,CADC0872,1,179,180,-3.84912996111111e-06,6.640561139815299e-10,2.5769286252853998e-05,-1.4956430025912677,-0.0036867545410024,1,1,1,48,56,1.086661011723246e-12,7.683594323691488e-13,179,180,3.709810692634245e-12,3.6892006332307206e-12
68,0.0,1.0,CADC0872,1,184,185,-5.100298848648649e-06,5.188734516159004e-10,2.2778793901695067e-05,-1.416096102682555,-0.0642284565779919,1,1,1,53,59,8.803084129211662e-13,8.900904496353864e-13,184,185,2.8199644109559807e-12,2.804721360085948e-12
69,0.0,1.0,CADC0872,1,184,185,2.671946816216216e-06,4.927733588189808e-10,2.219849902175777e-05,-1.4689595707856722,-0.0561836788134265,1,1,1,58,67,8.981383545909286e-13,1.0637560706832997e-12,184,185,2.6781160805379395e-12,2.663639777399897e-12
70,0.0,1.0,CADC0872,1,171,172,3.182576854651162e-06,2.6726509355641103e-10,1.6348244357006993e-05,-1.0258049602082415,-0.4235697550629071,1,1,1,52,60,5.422247932519427e-13,7.784233211330322e-13,171,172,1.5629537634877838e-12,1.5538668230023896e-12
71,1.0,1.0,CADC0872,1,182,183,2.893392010382513e-06,1.7731739285995887e-10,1.3316057707142864e-05,-1.1040904271965803,-0.2735371710611026,1,1,1,44,52,5.436368282674422e-13,9.315069785279786e-13,182,183,9.742713893404333e-13,9.689475019669884e-13
76,0.0,1.0,CADC0872,1,180,181,3.495366430939227e-06,2.587241683162709e-10,1.6084904983128465e-05,-1.4225883367707646,-0.0773036654387795,1,1,1,31,34,3.1433002442956957e-12,8.166129331452272e-12,180,181,1.4373564906459497e-12,1.429415294565033e-12
80,1.0,1.0,CADC0872,1,177,178,6.674827876404496e-07,5.137744458321065e-10,2.266659316774593e-05,0.4634700531724163,-0.8369032610276442,2,1,1,2,2,6.962235263410451e-11,2.020517843314645e-10,177,178,2.902680484927156e-12,2.8863732911916096e-12
82,1.0,1.0,CADC0872,1,165,166,-7.583311739759037e-06,4.3068742204816514e-10,2.075300995152668e-05,-1.4463011708546298,0.0201990359882362,2,1,1,9,26,4.210050502464988e-12,9.279822016730595e-12,165,166,2.6102268002919104e-12,2.5945025424588264e-12
83,0.0,1.0,CADC0872,1,184,185,6.311814000000077e-08,7.821093261316575e-10,2.796621758714713e-05,-1.4898144084296108,-0.0164111850420139,1,1,1,47,58,1.477979682258526e-12,1.4723699328012557e-12,184,185,4.2505941637590084e-12,4.2276179790900415e-12
85,0.0,1.0,CADC0872,1,173,174,7.936907586206898e-06,5.965982205763822e-10,2.442536019338061e-05,-1.4700929404093162,-0.0325844290585811,1,1,1,45,56,1.0256166462561637e-12,7.324357024993022e-13,173,174,3.4485446276091454e-12,3.428725405611392e-12
88,0.0,1.0,CADC0872,1,161,162,-3.433459209876543e-06,2.1741008990639618e-10,1.474483265101358e-05,-1.3995810314278638,-0.0951258002999912,1,1,1,41,51,6.194370348541968e-13,8.185023715281874e-13,161,162,1.3503732292322745e-12,1.3420375920147914e-12
89,0.0,1.0,CADC0872,1,180,181,3.0945816270718224e-06,2.778229699351285e-10,1.6668022376248732e-05,-1.50866547228592,-0.0133803783681097,1,1,1,58,63,7.235222004563904e-13,1.1707568306613525e-12,180,181,1.5434609440840472e-12,1.5349335355531961e-12
90,1.0,1.0,CADC0872,1,178,179,4.10232853631285e-06,2.429536738482512e-10,1.5586971285283464e-05,-1.4390862605150303,-0.1161229677640195,1,1,1,32,34,8.78514743172998e-13,1.5524453321279176e-12,178,179,1.364908280046355e-12,1.3572830941243085e-12
92,0.0,1.0,CADC0872,1,171,172,-3.592388377906977e-06,2.79823589375466e-10,1.6727928424508098e-05,-1.471195927967888,0.0407507457859605,1,1,1,48,56,6.32703271027755e-13,7.471556964289924e-13,171,172,1.6363952595056489e-12,1.6268813335782905e-12
95,1.0,1.0,CADC0872,1,178,179,4.147243346368715e-06,6.28026548113771e-10,2.5060457859220597e-05,-0.8749599126935235,-0.2064508289548608,1,1,1,1,2,1.0047557932407453e-11,1.9378686908980858e-11,178,179,3.528239034347029e-12,3.508528201752912e-12
96,0.0,1.0,CADC0872,1,184,185,1.437770978378378e-06,9.426989031052215e-10,3.0703402142193e-05,-1.4942722552801424,-0.0229708851640948,1,1,1,46,63,1.3173679043932238e-12,6.08737514873977e-13,184,185,5.123363603832727e-12,5.095669746514712e-12
97,1.0,1.0,CADC0872,1,170,171,-7.196355608187134e-06,6.804697576918915e-10,2.6085815258333243e-05,-1.3265286513853711,0.1016824882778344,2,1,1,1,2,5.4709485894941185e-11,1.6092712328626835e-10,170,171,4.002763280540538e-12,3.9793553081397156e-12
98,0.0,1.0,CADC0872,1,181,182,-5.298504725274738e-07,7.905372265744045e-10,2.8116493852797588e-05,-1.4850829787355693,-0.0324248094894206,1,1,1,51,64,1.1998542810252676e-12,7.806928749304099e-13,181,182,4.36760898659892e-12,4.343611135024201e-12
101,0.0,1.0,CADC0872,1,175,176,1.4944010170454544e-06,2.718116871940872e-10,1.6486712443482696e-05,-1.4919572667748202,-0.0152433013510625,1,1,1,50,57,7.106335581868916e-13,1.149226248322459e-12,175,176,1.5532096411090696e-12,1.5443845863300408e-12
102,0.0,1.0,CADC0872,1,169,170,1.5444158823529192e-08,2.3654979389362953e-10,1.538017535314957e-05,-1.5192484455591122,-0.0227404409111167,1,1,1,50,56,6.547871452329411e-13,9.636567911954909e-13,169,170,1.3997029224475121e-12,1.3914693758448797e-12
105,0.0,1.0,CADC0872,1,169,170,2.4936633905882363e-06,1.4784626466487359e-10,1.2159204935556996e-05,-1.2895263564033577,-0.1073631482139543,1,1,1,54,58,4.977309343060324e-13,9.294165552150837e-13,169,170,8.748299684312049e-13,8.696839097933743e-13
106,1.0,1.0,CADC0872,1,177,178,4.434545005617978e-06,1.9120541510090828e-10,1.3827704621552642e-05,0.3660157247453517,0.0650394441445405,2,2,1,1,2,4.330064134269116e-11,1.2931585249754594e-10,177,178,1.0802565824910073e-12,1.0741877252860017e-12
107,0.0,1.0,CADC0872,1,177,178,-5.142483426966294e-07,2.2768186545527467e-10,1.5089130705752224e-05,-1.4939471522519352,-0.0131832263241863,1,1,1,56,60,5.679105230513337e-13,8.188402323544929e-13,177,178,1.2863382229111562e-12,1.2791116036813185e-12
111,0.0,1.0,CADC0872,1,183,184,-7.178251793478263e-07,5.542761809864477e-10,2.354307076373955e-05,-1.4902804586425396,0.0325055706981565,1,1,1,26,42,6.835457946125205e-12,1.851519071448359e-11,183,184,3.028831590089879e-12,3.0123705488393904e-12
113,0.0,1.0,CADC0872,1,182,183,-2.9480549617486337e-06,6.954670548444273e-10,2.6371709365235072e-05,-1.497065087826975,0.0311215645095931,1,1,1,30,36,2.768676594840002e-12,5.819877153271209e-12,182,183,3.8212475540902586e-12,3.800366419914903e-12
116,0.0,1.0,CADC0872,1,180,181,6.070373187845303e-06,7.855700485497806e-10,2.802802255867832e-05,-1.5064694057741888,-0.0311183291688051,1,1,1,43,56,1.1905763739299693e-12,7.105954690152855e-13,180,181,4.364278047498781e-12,4.340166014087186e-12
117,0.0,1.0,CADC0872,1,168,169,-1.46027224852071e-06,6.395613600594785e-10,2.5289550412363573e-05,-1.477610249264654,-0.0345059873626682,1,1,1,48,51,1.198986310968835e-12,1.0070893406039982e-12,168,169,3.806912857496896e-12,3.784386745914075e-12
118,0.0,1.0,CADC0872,1,177,178,-3.254902657303371e-06,6.183474954419583e-10,2.4866593965438017e-05,-1.484768758297597,-0.0189562081915686,1,1,1,54,60,1.0289784959613222e-12,7.735265280480834e-13,177,178,3.4934886748133245e-12,3.473862333943587e-12
122,0.0,1.0,CADC0872,1,175,176,-9.255720852272724e-07,2.581884844387609e-10,1.6068244597303118e-05,-1.4676663734827202,-0.0085579091497641,1,1,1,54,59,6.012835730111704e-13,8.415360837910738e-13,175,176,1.4753627682214908e-12,1.4669800252202325e-12
123,0.0,1.0,CADC0872,1,184,185,-1.7774205027027027e-06,2.8010692212227673e-10,1.6736395135221825e-05,-1.4983242979589435,0.0133804083158065,1,1,1,56,60,5.546739853157392e-13,6.337277621886063e-13,184,185,1.522320228925417e-12,1.5140914709312257e-12
124,0.0,1.0,CADC0872,1,176,177,3.862645152542373e-06,3.4628444299675304e-10,1.8608719542105876e-05,-1.4776581213307702,-0.0401971481031012,1,1,1,53,63,6.930182033110659e-13,7.944374062067297e-13,176,177,1.967525244299733e-12,1.956409282467532e-12
125,1.0,1.0,CADC0872,1,172,173,7.562725064161849e-06,4.6297949509214204e-10,2.1516958314133115e-05,-1.4248329702693008,-0.0865799000409812,1,1,1,2,2,6.55581411750908e-12,1.2300614369268376e-11,172,173,2.69174125053571e-12,2.676182052555735e-12
127,1.0,1.0,CADC0872,1,169,170,-7.725837017647058e-06,6.265967225050615e-10,2.5031914079931275e-05,-1.3946256926742733,0.0412112620378664,2,2,2,2,2,5.92627457251049e-11,1.6650113383188122e-10,169,170,3.707672914231134e-12,3.685863073559186e-12
128,0.0,1.0,CADC0872,1,188,189,-1.787396867724868e-06,9.552887372362426e-10,3.090774558644229e-05,-1.498484037764069,0.0116839869013488,1,1,1,54,63,1.3363103545671772e-12,8.301171559844913e-13,188,189,5.081323070405547e-12,5.054437763154724e-12
129,1.0,1.0,CADC0872,1,184,185,-3.199592545945946e-06,5.704154650107844e-10,2.388337214487905e-05,-0.91979361008989,-0.0044808091943833,2,2,2,1,2,1.6594510109712626e-11,3.2602290545641697e-11,184,185,3.100084048971655e-12,3.0833268378961324e-12
130,0.0,1.0,CADC0872,1,182,183,8.497664262295082e-06,7.297155659200724e-10,2.701324797058052e-05,-1.4730382419644317,-0.0531778674429865,1,1,1,47,59,1.1153178833197377e-12,7.465269972040043e-13,182,183,4.009426186374025e-12,3.987516753661598e-12
134,1.0,1.0,CADC0872,1,178,179,-1.858890735195531e-06,1.897119955069628e-10,1.377359776917283e-05,-0.1270711579261507,-0.3417235842882896,2,2,2,1,1,3.4929054383756886e-11,6.974969863866063e-11,178,179,1.0657977275672066e-12,1.0598435503182277e-12
135,0.0,1.0,CADC0872,1,175,176,2.2546554545454547e-06,1.3221829161478352e-10,1.1498621291910762e-05,-1.468346690467857,-0.0469621844186943,1,1,1,55,56,4.691559265042268e-13,8.32442738129494e-13,175,176,7.555330949416201e-13,7.512402932658154e-13
136,1.0,1.0,CADC0872,1,188,189,2.9166292857142864e-06,1.4835877912788038e-10,1.2180261866145588e-05,-1.5048907687574025,-0.0154254847205833,1,1,1,40,47,4.71449596387371e-13,7.311259956967983e-13,188,189,7.891424421695766e-13,7.849670853327005e-13
137,0.0,1.0,CADC0872,1,182,183,1.730631210928962e-06,1.6294646171912082e-10,1.2765048441706786e-05,-1.486411880067798,0.0131717210670932,1,1,1,51,58,4.669670317352995e-13,7.317833747166514e-13,182,183,8.953102292259386e-13,8.904178236017533e-13
138,0.0,1.0,CADC0872,1,189,190,1.7198987842105263e-06,3.752356580922959e-10,1.9371000441182584e-05,-1.495990145617166,-0.0308050569182987,1,1,1,57,67,6.622959345584009e-13,7.522868851461215e-13,189,190,1.98537385234019e-12,1.9749245162752414e-12
140,0.0,1.0,CADC0872,1,188,189,2.3475870158730163e-06,6.817550368199745e-10,2.611043923069803e-05,-1.389598825230904,-0.1031564151034949,1,1,1,50,66,1.0005719994736748e-12,7.922688051383694e-13,188,189,3.6263565788296523e-12,3.607169506983993e-12
141,1.0,1.0,CADC0872,1,188,189,-5.285984036507937e-06,7.147917828834586e-10,2.673559019141823e-05,-1.2108317971295934,0.0067994398559526,3,3,1,2,5,2.3485162729222453e-11,4.599140120905013e-11,188,189,3.802083951507759e-12,3.781967105203485e-12
144,0.0,1.0,CADC0872,1,206,207,7.768148739130436e-06,7.219219050707172e-10,2.6868604449630747e-05,-1.4117759282924864,-0.1126041011278292,1,1,1,53,67,9.391332787495384e-13,8.671450061262046e-13,206,207,3.5044752673335787e-12,3.4875454351242373e-12
145,0.0,1.0,CADC0872,1,212,213,6.163727824413145e-06,5.406971020033051e-10,2.325289448656457e-05,-1.1013740765917042,-0.34532683784316,1,1,1,55,71,6.586540202517837e-13,7.171191124427443e-13,212,213,2.550458028317477e-12,2.5384840469638738e-12
146,1.0,1.0,CADC0872,1,196,197,1.9226841573604054e-07,1.8928624708554163e-10,1.3758133851854387e-05,-0.6539800984488155,-0.4800756927215989,2,2,1,1,5,5.769793537903537e-12,1.1371263262769944e-11,196,197,9.657461585997025e-13,9.608438938352368e-13
149,0.0,1.0,CADC0872,1,203,204,1.5210467681372549e-06,1.2780850266076102e-10,1.1305242264576246e-05,-1.472738422659563,-0.0618977404070774,1,1,1,58,66,4.0172850337526973e-13,7.71811408149356e-13,203,204,6.29598535274685e-13,6.265122679449071e-13
150,1.0,1.0,CADC0872,1,216,217,2.265338898617511e-06,1.3622748220699782e-10,1.1671652933796388e-05,-1.4890603769227575,0.0019479593487525,2,1,1,26,51,6.692201249068052e-13,1.3332062639864765e-12,216,217,6.306827879953603e-13,6.277764157004509e-13
152,0.0,1.0,CADC0872,1,191,192,-2.8827177390625e-06,1.0048276671519308e-10,1.0024109272907648e-05,-1.2498167037314607,-0.1570674954471162,1,1,1,56,63,3.628328619550296e-13,7.520203082007499e-13,191,192,5.260877838491786e-13,5.233477433082974e-13
153,0.0,1.0,CADC0872,1,219,220,-1.781899090909097e-07,3.2306511167793756e-10,1.7974012119667037e-05,-1.472423262965432,0.0372601848115595,1,1,1,64,72,5.752136210578944e-13,8.971635648849389e-13,219,220,1.475183158346747e-12,1.4684777803542617e-12
154,0.0,1.0,CADC0872,1,204,205,3.07853767804878e-06,3.558216679876522e-10,1.886323588326383e-05,-1.381150540821647,-0.1238730113175909,1,1,1,65,69,6.30648344627036e-13,9.44976629907646e-13,204,205,1.7442238626845697e-12,1.7357154535983033e-12
156,0.0,1.0,CADC0872,1,198,199,4.406177587939705e-07,7.194354450084974e-10,2.682229380587159e-05,-1.4440643173689034,-0.0460616337276411,1,1,1,52,74,1.0829901983728074e-12,1.1130446102822105e-12,198,199,3.633512348527765e-12,3.615253492505013e-12
157,0.0,1.0,CADC0872,1,216,217,-3.8975903917050695e-06,7.793099452656105e-10,2.791612339250582e-05,-1.4952048260924922,0.0182986683434696,1,1,1,66,73,1.0935445317644569e-12,1.2156780130940786e-12,216,217,3.607916413266716e-12,3.591290070348436e-12
158,0.0,1.0,CADC0872,1,205,206,-7.279649669902911e-06,5.2130737111929e-10,2.2832156514864956e-05,-1.4054538536145942,-0.0540107957675127,1,1,1,56,65,8.320981484636078e-13,9.900839158442413e-13,205,206,2.5429627859477567e-12,2.5306183064043205e-12
159,0.0,1.0,CADC0872,1,233,234,3.8069060470085474e-06,8.763908379121282e-10,2.960389903225804e-05,-1.4340995665339882,-0.0715958190065987,1,1,1,63,74,1.0726205750316916e-12,1.142500742304392e-12,233,234,3.761334068292396e-12,3.745259991077472e-12
160,1.0,1.0,CADC0872,1,224,225,6.156609288888878e-07,5.51405733151937e-10,2.3482030004919444e-05,-0.802509489673739,-0.5833269879792162,2,1,1,2,7,2.8720934925361855e-12,5.390838524882769e-12,224,225,2.4616327372854333e-12,2.4506921473419423e-12
161,0.0,1.0,CADC0872,1,236,237,7.597927864978903e-06,6.122274204437358e-10,2.474322979006047e-05,-0.899726720541453,-0.4660022738690266,1,1,1,74,81,6.455087343672056e-13,8.692005276339149e-13,236,237,2.5941839849310844e-12,2.5832380609440336e-12
164,0.0,1.0,CADC0872,1,236,237,-2.9906392869198306e-06,3.1476653684874155e-10,1.7741661051004824e-05,-1.4580653156951324,0.004047994313287,1,1,1,67,76,5.392907317368543e-13,8.423955435268399e-13,236,237,1.333756512070939e-12,1.3281288474630448e-12
165,1.0,1.0,CADC0872,1,231,232,2.2651312456896558e-06,4.6113194738637214e-10,2.147398303497449e-05,-1.368997063096835,0.0094168414015433,2,2,1,1,7,3.414993229582004e-12,6.315722288721196e-12,231,232,1.9962421964778016e-12,1.9876377042516042e-12
168,0.0,1.0,CADC0872,1,222,223,-7.387198448430493e-06,7.343261582869615e-10,2.709845306077381e-05,-1.474828414686742,-0.0003539082299746,1,1,1,57,75,9.813063849373225e-13,1.049372963178986e-12,222,223,3.3077754877791065e-12,3.2929424138428773e-12
169,0.0,1.0,CADC0872,1,264,265,-3.578292388679245e-06,9.166051643131991e-10,3.027548784599844e-05,-1.504733324016941,0.0274887193238036,1,1,1,79,90,9.442408807281893e-13,1.200791579432733e-12,264,265,3.471989258762118e-12,3.4588874125026384e-12
170,1.0,1.0,CADC0872,1,220,221,-9.529907714932126e-06,2.847326737856142e-10,1.6874023639476574e-05,-0.7054197609054382,-0.6717362687782633,3,2,1,3,16,2.825806897474057e-12,5.715622258434287e-12,220,221,1.2942394262982469e-12,1.288383139301422e-12
171,0.0,1.0,CADC0872,1,312,313,5.127767999999999e-06,4.849830632923755e-10,2.2022331014049704e-05,-1.3553814667095845,-0.0864288413145342,1,1,1,98,105,4.459515359457431e-13,8.014538288796714e-13,312,313,1.5544328951678699e-12,1.5494666558861837e-12
172,0.0,1.0,CADC0872,1,254,255,-3.4845312088627445e-06,1.7525812639142322e-10,1.323850922088372e-05,-0.5598356107346052,-0.9846450845881158,1,1,1,80,86,2.9998411059476733e-13,7.726466666449263e-13,254,255,6.899926235882805e-13,6.872867701624443e-13
173,0.0,1.0,CADC0872,1,289,290,6.450108189655173e-06,1.4446052885709103e-10,1.2019173384933384e-05,-0.6482444627710864,-0.6914390510597769,1,1,1,86,92,3.5335891092920295e-13,8.701874217827662e-13,289,290,4.99863421650834e-13,4.981397546796244e-13
175,0.0,1.0,CADC0872,1,261,262,5.858064340839695e-06,8.687656095722944e-11,9.320759677045076e-06,-1.4744492997948284,-0.0119767111225826,1,1,1,90,92,3.090379404355029e-13,7.556492171155742e-13,261,262,3.328603868093082e-13,3.315899273176696e-13
