segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
11,0,1,CADC0872,1,229,230,-4.5195422400000004e-06,4.332306132128366e-10,2.0814192590942283e-05,-1.2642493263381807,-0.23209084249298717,1,1,1,71,84,5.909420092907242e-13,8.931564543910516e-13,229,230,1.8918367389206838e-12,1.883611361794942e-12
12,0,0,CADC0872,1,238,239,8.207475334476986e-06,6.720664935050506e-10,2.592424528322957e-05,-1.4771013537511233,-0.04423761434892896,1,1,1,66,76,8.337571557841643e-13,1.0014874344090122e-12,238,239,2.8238087962397084e-12,2.811993696673852e-12
13,1,0,CADC0872,1,229,230,-1.595561282608696e-06,6.0866030893396e-10,2.4671041910182066e-05,-0.812622692797941,0.38974607048730264,1,1,1,1,1,9.853793080883765e-12,1.919965214696939e-11,229,230,2.6579052791875982e-12,2.646349169278087e-12
14,0,1,CADC0872,1,221,222,6.963036954954955e-06,6.600910775784002e-10,2.569223769114711e-05,-1.3099544300386137,-0.16176704299634542,1,1,1,67,77,8.710885684176065e-13,1.0171315610337586e-12,221,222,2.9868374551058834e-12,2.9733832323351362e-12
15,1,1,CADC0872,1,200,201,-7.767890676616916e-06,1.4598433919622125e-10,1.2082397907543902e-05,-1.3764193585466062,-0.14665425077536115,8,2,1,21,32,4.0355165314199206e-12,9.654801934071314e-12,200,201,7.299216959811063e-13,7.262902447573197e-13
16,0,1,CADC0872,1,249,250,2.560307673600001e-06,5.613340482840469e-10,2.369248928002389e-05,-1.4583843794155233,-0.039400728337475585,1,1,1,67,66,2.09028752873673e-12,4.507630022842565e-12,249,250,2.2543536075664533e-12,2.2453361931361878e-12
17,0,1,CADC0872,1,238,239,2.181008912133891e-06,3.4062737476365075e-10,1.845609316089542e-05,-1.0120805740067558,-0.363082320020136,1,1,1,54,64,1.6851626846655491e-12,3.865913626402384e-12,238,239,1.4312074569901292e-12,1.4252191412705053e-12
18,0,0,CADC0872,1,213,214,-1.104237738317757e-06,2.435482513359998e-10,1.5606032530274945e-05,-1.0863347541610358,-0.32154068489461285,1,1,1,47,51,1.55413085868417e-12,3.651738322983825e-12,213,214,1.1434190203568064e-12,1.138075940822429e-12
19,1,1,CADC0872,1,202,203,-5.584398348768473e-06,1.9262978945958084e-10,1.387911342484025e-05,-1.2649221065817802,-0.14684415535097922,2,1,1,29,40,2.3599440551902203e-12,5.479548364194244e-12,202,203,9.536128191068358e-13,9.489152190127135e-13
20,1,0,CADC0872,1,267,268,3.992460474626865e-06,5.382671391492646e-10,2.3200584888085574e-05,-1.02966075201578,-0.31204672553459334,1,1,1,18,19,5.083800741327838e-12,1.029699471866654e-11,267,268,2.015981794566534e-12,2.0084594744375546e-12
21,1,0,CADC0872,1,281,282,5.2895249343971635e-06,4.2267670560076084e-10,2.0559102743085867e-05,-0.6099811249142237,-0.5351140290160574,3,2,1,1,2,2.2744860842710054e-11,6.684322749233181e-11,281,282,1.504187564415519e-12,1.4988535659601448e-12
22,1,1,CADC0872,1,183,184,-5.040148853641304e-06,2.2957973930255104e-10,1.5151888968130378e-05,0.5374727443578138,-1.5093964027183435,6,1,1,14,15,7.517321168711943e-12,1.5725877456716946e-11,183,184,1.2545340945494592e-12,1.247715974470386e-12
23,0,1,CADC0872,1,243,244,2.346611106557377e-06,8.908867435407416e-10,2.9847725935835408e-05,-1.4878089313826552,0.0022501749039919904,1,1,1,47,53,3.0884833911403045e-12,6.299152873774194e-12,243,244,3.66620059070264e-12,3.651175178445663e-12
24,1,1,CADC0872,1,201,202,-8.968957113861387e-06,4.0564902046655837e-10,2.0140730385627986e-05,-1.3019901857550655,-0.1811360840432008,1,1,1,12,13,6.703092841414196e-12,1.307913476781837e-11,201,202,2.018154330679395e-12,2.0081634676562297e-12
25,0,1,CADC0872,1,208,209,9.865551913875601e-07,6.941012221737458e-10,2.6345800845177316e-05,-1.4755890643097807,-0.03125511477943608,1,1,1,50,61,2.0925472008710955e-12,3.5713367078921037e-12,208,209,3.3370251066045472e-12,3.321058479300219e-12
26,0,1,CADC0872,1,210,211,2.9755845450236967e-06,8.370861073143552e-10,2.8932440396799493e-05,-1.4931356400078037,-0.009346340254696151,1,1,1,42,53,2.4948722929977206e-12,4.6213119870821835e-12,210,211,3.986124320544548e-12,3.9672327360869916e-12
27,0,1,CADC0872,1,202,203,7.010657576354678e-06,5.013480960466014e-10,2.2390803827611936e-05,-0.8336900319426253,-0.47895679579264056,2,1,1,36,38,3.2894368618308617e-12,7.773531738830662e-12,202,203,2.4819212675574327e-12,2.4696950544167554e-12
28,0,0,CADC0872,1,181,182,-4.743231538461536e-07,2.2825209786002245e-10,1.5108014358611871e-05,-0.7797241551683598,-0.6228378324931242,1,1,1,38,47,1.214893538327048e-12,2.8585815049019e-12,181,182,1.2610613141437705e-12,1.2541324058242993e-12
29,1,1,CADC0872,1,225,226,2.5735809424778764e-06,3.9915988314566786e-10,1.997898603897775e-05,-1.2579965834416333,-0.18486716802377479,4,2,1,13,27,6.237984693873817e-12,1.373772180159846e-11,225,226,1.7740439250918573e-12,1.7661941732109198e-12
30,0,0,CADC0872,1,194,195,-2.1828606729743593e-06,1.2341850460009111e-10,1.110938812896962e-05,-0.8880815455825006,-0.3856325215567748,3,1,1,45,48,2.4016605624366516e-12,6.975553311374877e-12,194,195,6.361778587633563e-13,6.329154082055955e-13
31,1,0,CADC0872,1,198,199,3.98613059798995e-06,1.4249355135748187e-10,1.1937066279345267e-05,-1.0926725484230801,0.3714784956999048,1,1,1,19,16,3.387310865985416e-12,7.2592680030265215e-12,198,199,7.19664400795363e-13,7.160479967712657e-13
32,0,1,CADC0872,1,202,203,6.426002753694582e-07,2.2883340565612095e-10,1.5127240516899338e-05,-1.2901575129495155,-0.1535840082192607,1,1,1,55,61,1.886357072614889e-12,5.296148517595596e-12,202,203,1.132838641861985e-12,1.1272581559414826e-12
33,0,1,CADC0872,1,229,230,2.1019733434782606e-06,3.645476299717419e-10,1.909313043928999e-05,-1.4942384421491517,0.01984429701803154,1,1,1,64,64,2.3320675067498907e-12,6.430783995253762e-12,229,230,1.5919110479115366e-12,1.5849896955293127e-12
34,0,1,CADC0872,1,185,186,-7.543538026881721e-06,8.74672338339674e-11,9.352391877694572e-06,-1.1978992609144303,-0.2081805538291964,3,1,1,41,44,1.5755302193307805e-12,4.361466225010511e-12,185,186,4.72795858561986e-13,4.702539453439108e-13
35,0,0,CADC0872,1,226,227,6.124206829515419e-06,6.458078624865879e-10,2.5412749998506418e-05,-1.1283898004965605,-0.2607257972634032,1,1,1,57,73,1.8920363921852593e-12,4.395055610008221e-12,226,227,2.8575569136574684e-12,2.8449685572096385e-12
36,0,1,CADC0872,1,213,214,3.7435944813084117e-06,6.407314864300141e-10,2.531267442270797e-05,-1.1666609687637206,-0.2631781676284668,1,1,1,51,59,1.5349787323895149e-12,3.1348538200671495e-12,213,214,3.008129044272367e-12,2.994072366495393e-12
37,0,1,CADC0872,1,192,193,6.116210595854922e-06,7.083659690789163e-10,2.661514548295606e-05,-1.153059937909473,-0.2862722087532431,1,1,1,31,38,1.7912677071097191e-12,3.085998146989425e-12,192,193,3.689406088952689e-12,3.670289995227546e-12
38,0,1,CADC0872,1,196,197,1.7975299492386502e-08,7.739083804899865e-10,2.781920884011597e-05,-1.4850694590849882,-0.06662274596068067,1,1,1,44,55,1.4800673793906628e-12,2.0558430662942246e-12,196,197,3.948512145357074e-12,3.928468936497393e-12
39,0,1,CADC0872,1,201,202,-4.013059732673268e-06,7.030623892734439e-10,2.6515323669030403e-05,-1.5032768274517874,0.04228171716515379,1,1,1,53,63,2.0956523023503574e-12,4.6192610552516e-12,201,202,3.4978228322061884e-12,3.4805068775913063e-12
40,0,1,CADC0872,1,181,182,-5.13265655e-06,3.017189325157163e-10,1.737005850639877e-05,-1.0719674877397287,-0.27043835214809564,2,1,1,41,48,4.688929118648005e-12,1.2691291607019425e-11,181,182,1.666955428263626e-12,1.6577963325039357e-12
41,0,1,CADC0872,1,199,200,4.0690412199999995e-06,4.445181129861796e-10,2.108359819827203e-05,-1.4026988422537556,-0.12003162821876029,1,1,1,34,40,2.5415260430275344e-12,6.3915221871309396e-12,199,200,2.233759361739596e-12,2.222590564930898e-12
42,0,0,CADC0872,1,192,193,4.740144067357513e-06,2.733656242027504e-10,1.653377223148881e-05,-0.7344110338603698,-0.5283865011298791,2,1,1,43,54,2.5763674947990272e-12,6.9194882920046134e-12,192,193,1.4237792927226585e-12,1.416402197941712e-12
43,0,0,CADC0872,1,173,174,-2.7021560402298847e-06,1.2020044668510905e-10,1.0963596430237162e-05,-0.5898995336961526,-0.6651712810061887,2,1,1,47,58,2.578690700465817e-12,7.280366690347954e-12,173,174,6.948002698561217e-13,6.908071648569486e-13
44,0,1,CADC0872,1,205,206,7.183812135922328e-07,3.1104888852690237e-10,1.7636578141093652e-05,-1.4721426388551364,-0.01508037846116942,2,1,1,34,41,2.7770370187511977e-12,7.85309143882054e-12,205,206,1.5173116513507432e-12,1.5099460608102057e-12
45,0,1,CADC0872,1,195,196,-1.3124625000000007e-07,2.438485665346287e-10,1.561565133238536e-05,-1.4229913972403705,-0.062029950077498355,2,1,1,41,36,2.3971462657617682e-12,6.253709589544623e-12,195,196,1.2505054694083523e-12,1.2441253394623913e-12
46,0,1,CADC0872,1,185,186,6.967145411827957e-06,2.381975576914971e-10,1.543365017393802e-05,-1.429684555894081,-0.10219049569098325,3,1,1,40,52,2.3558835814535306e-12,4.935010106102847e-12,185,186,1.2875543658999843e-12,1.2806320305994468e-12
47,0,1,CADC0872,1,184,185,-3.4006216e-06,2.0932254182656862e-10,1.4467983336545858e-05,-0.9771111583624026,-0.37654862490784563,1,1,1,44,53,9.644726418815068e-13,1.856168658358875e-12,184,185,1.1376225099270034e-12,1.131473199062533e-12
48,0,1,CADC0872,1,233,234,-1.4488028452991454e-06,6.032890044128559e-10,2.4561942195454656e-05,-1.4895453009880302,0.015771578736965716,1,1,1,55,63,1.6012962324056471e-12,3.132799937927992e-12,233,234,2.5892231949049612e-12,2.5781581385164783e-12
49,0,1,CADC0872,1,185,186,-6.523637596774194e-06,2.5008550452398304e-10,1.5814091960146906e-05,-0.6905052180708902,-0.7442022222449438,2,1,1,27,35,1.8235065788138158e-12,4.373566220842752e-12,185,186,1.3518135379674759e-12,1.3445457232472206e-12
50,0,0,CADC0872,1,197,198,5.0880126373737374e-06,5.857931368347817e-10,2.4203163777382117e-05,-0.730640219116145,-0.5972663331352035,1,1,1,43,52,2.053498038814643e-12,3.842948188419347e-12,197,198,2.9735692225115824e-12,2.958551196135261e-12
51,1,1,CADC0872,1,206,207,3.2513048792270545e-06,8.375966271520162e-10,2.894126167173809e-05,-1.3118048273573302,-0.09882215582433677,1,1,1,18,26,5.0025939564604206e-12,1.0248304736342441e-11,206,207,4.066003044427263e-12,4.04636051764259e-12
52,1,1,CADC0872,1,166,167,-1.8754152574850304e-06,5.697570098170464e-10,2.3869583360776248e-05,-1.2205775116636852,-0.29476995273179046,1,1,1,33,43,2.505382759431736e-12,5.010278248138061e-12,166,167,3.432271143476183e-12,3.4117186216589605e-12
53,0,1,CADC0872,1,193,194,-3.7372765567010306e-06,8.166443576989557e-10,2.857699000417916e-05,-1.4758693751638186,-0.01648479320844146,1,1,1,45,62,3.1669332527812304e-12,6.061745467709311e-12,193,194,4.23131791553863e-12,4.209506998448225e-12
54,0,0,CADC0872,1,180,181,2.0111364640883993e-07,7.727336865109864e-10,2.779808782112515e-05,-1.4546530767234753,-0.07037084188902597,1,1,1,39,42,2.504851863701707e-12,4.1362745383274115e-12,180,181,4.292964925061036e-12,4.2692468868010296e-12
55,0,1,CADC0872,1,173,174,3.601382387931034e-06,5.119306924574624e-10,2.2625885451346702e-05,-1.0730512326690211,-0.34336411132624084,1,1,1,45,50,2.5160701738773417e-12,5.5222220290121546e-12,173,174,2.95913695062117e-12,2.9421304164221976e-12
56,0,1,CADC0872,1,190,191,4.68003470157068e-06,4.4151578223804474e-10,2.1012276940827826e-05,-1.217343212252034,-0.19064202963958785,1,1,1,29,45,2.6514477129924967e-12,5.423697489754469e-12,190,191,2.3237672749370777e-12,2.3116009541258886e-12
57,1,1,CADC0872,1,190,191,3.6320329267015706e-06,3.969025581867572e-10,1.9922413462900453e-05,-1.2363885717823313,-0.21326218063192928,2,1,1,16,29,4.264999474465775e-12,8.612306281625527e-12,190,191,2.08896083256188e-12,2.078023864852132e-12
58,0,1,CADC0872,1,158,159,-4.3134840754716985e-06,9.74329108007339e-11,9.870811050807015e-06,-1.3936797186758496,0.004302102627925181,2,1,1,28,36,2.0130440020890228e-12,4.249245681800116e-12,158,159,6.166639924097082e-13,6.12785602520339e-13
59,1,1,CADC0872,1,194,195,2.892919692307692e-06,2.1281915687004408e-10,1.45883226201659e-05,-1.3743775799641456,-0.06971694706498603,2,2,1,4,15,3.111372416656651e-12,6.166965234303396e-12,194,195,1.0970059632476498e-12,1.0913802916412518e-12
60,1,1,CADC0872,1,192,193,2.5781327461139894e-06,2.5457916237267494e-10,1.5955537044320224e-05,-1.5101903294501007,-0.028232370272400886,1,1,1,27,26,1.3298934947435105e-12,2.4942697544929287e-12,192,193,1.3259331373576819e-12,1.3190630174749996e-12
61,0,0,CADC0872,1,184,185,3.0330285837837838e-06,2.7959955150217546e-10,1.6721230561838906e-05,-1.4817374727215182,-0.057013853409086955,1,1,1,51,57,6.821750112247423e-13,1.0305709339668388e-12,184,185,1.5195627799031274e-12,1.5113489270387863e-12
62,1,1,CADC0872,1,172,173,-4.602417971098265e-06,1.826959384450882e-10,1.3516506147858188e-05,-1.2990520296010797,-0.10252381309968885,2,2,1,1,5,4.238231915108686e-12,6.898922805017506e-12,172,173,1.0621856886342337e-12,1.0560458869658277e-12
63,0,0,CADC0872,1,207,208,7.758007211538466e-07,6.311851535680608e-10,2.512339852742978e-05,-1.4288886955001552,-0.03520664609585253,1,1,1,58,71,8.404117628554484e-13,8.262101578803194e-13,207,208,3.0492036404254144e-12,3.034544007538754e-12
64,0,0,CADC0872,1,185,186,2.298144392473119e-06,4.828665429025704e-10,2.197422451197244e-05,-1.0283408368296691,-0.36938120144458325,1,1,1,54,64,7.461330539423792e-13,8.041403402180727e-13,185,186,2.6100894210949747e-12,2.5960566822718835e-12
65,0,1,CADC0872,1,189,190,7.0171540421052645e-06,7.616527140263473e-10,2.759805634508248e-05,-1.0739005137153346,-0.3149010869319039,1,1,1,58,68,1.0784858541917028e-12,1.1094434853895175e-12,189,190,4.029908539821943e-12,4.008698494875512e-12
66,0,0,CADC0872,1,195,196,3.7591720612244905e-06,9.645156750499034e-10,3.1056652669756655e-05,-1.495399910264106,-0.050040573236507874,1,1,1,54,67,1.2326429790891474e-12,7.096333049216229e-13,195,196,4.946234231025145e-12,4.9209983420913435e-12
67,0,1,CADC0872,1,179,180,-3.84912996111111e-06,6.640561139815299e-10,2.5769286252853994e-05,-1.4956430025912675,-0.003686754541002409,1,1,1,48,56,1.086661011723246e-12,7.683594323691487e-13,179,180,3.709810692634245e-12,3.689200633230721e-12
68,0,1,CADC0872,1,184,185,-5.100298848648649e-06,5.188734516159004e-10,2.2778793901695067e-05,-1.416096102682555,-0.06422845657799196,1,1,1,53,59,8.803084129211662e-13,8.900904496353863e-13,184,185,2.8199644109559803e-12,2.804721360085948e-12
69,0,1,CADC0872,1,184,185,2.671946816216216e-06,4.927733588189809e-10,2.2198499021757774e-05,-1.4689595707856722,-0.05618367881342659,1,1,1,58,67,8.981383545909286e-13,1.0637560706832995e-12,184,185,2.6781160805379395e-12,2.663639777399897e-12
70,0,1,CADC0872,1,171,172,3.182576854651162e-06,2.6726509355641103e-10,1.6348244357006993e-05,-1.0258049602082415,-0.4235697550629071,1,1,1,52,60,5.422247932519427e-13,7.784233211330322e-13,171,172,1.5629537634877838e-12,1.5538668230023896e-12
71,1,1,CADC0872,1,182,183,2.8933920103825134e-06,1.7731739285995887e-10,1.3316057707142864e-05,-1.1040904271965803,-0.2735371710611026,1,1,1,44,52,5.436368282674421e-13,9.315069785279786e-13,182,183,9.742713893404333e-13,9.689475019669884e-13
72,0,0,CADC0872,1,187,188,1.5482294946808513e-06,2.3533914099406087e-10,1.5340767288309307e-05,-1.4463689695446549,-0.012974506391385397,1,1,1,61,65,5.548524560768718e-13,8.476325002096805e-13,187,188,1.2584980801821436e-12,1.2518039414577707e-12
73,0,1,CADC0872,1,162,163,-4.1057247484662585e-06,9.305489476574433e-11,9.646496502137153e-06,-1.4643084778714672,-0.025162626291475542,1,1,1,48,55,3.9829594881921e-13,6.973088195415397e-13,162,163,5.744129306527428e-13,5.708889249432167e-13
74,1,1,CADC0872,1,190,191,5.308426963350783e-07,2.1922667955327403e-10,1.4806305398487295e-05,-1.2258996184457776,0.10341480495376758,1,1,1,13,16,2.3301479842640575e-12,3.773585642967591e-12,190,191,1.153824629227758e-12,1.1477836625825865e-12
75,0,0,CADC0872,1,188,189,2.738583562962963e-06,2.4363128236749434e-10,1.5608692525881032e-05,-1.4228862421816684,-0.07848381111238391,1,1,1,54,61,6.157478321882545e-13,9.692337487614106e-13,188,189,1.2959110764228422e-12,1.2890544040608166e-12
76,0,1,CADC0872,1,180,181,3.495366430939227e-06,2.5872416831627094e-10,1.6084904983128465e-05,-1.4225883367707646,-0.07730366543877959,1,1,1,31,34,3.1433002442956953e-12,8.166129331452272e-12,180,181,1.4373564906459497e-12,1.429415294565033e-12
77,0,1,CADC0872,1,180,181,-6.273053140331491e-06,2.109371866205068e-10,1.4523676759708845e-05,-1.3798790827668337,0.017900795626778872,11,1,1,31,44,5.328779836742249e-12,1.5160421130533637e-11,180,181,1.1718732590028157e-12,1.1653988211077725e-12
78,0,1,CADC0872,1,198,199,-1.0495236432160806e-06,5.339947695131566e-10,2.3108326843654358e-05,-1.3874609017024164,-0.10418896611294745,1,1,1,41,55,3.913336729971621e-12,9.945435765051949e-12,198,199,2.696943280369478e-12,2.6833908015736513e-12
79,0,1,CADC0872,1,182,183,1.7816113224043727e-06,4.034177597538902e-10,2.008526225255449e-05,-0.8338558517755952,-0.44878871673732756,1,1,1,26,37,3.608294754294674e-12,9.701650285892871e-12,182,183,2.216581097548847e-12,2.204468632534919e-12
80,1,1,CADC0872,1,177,178,6.674827876404496e-07,5.137744458321065e-10,2.2666593167745932e-05,0.4634700531724163,-0.8369032610276442,2,1,1,2,2,6.962235263410451e-11,2.020517843314645e-10,177,178,2.9026804849271555e-12,2.8863732911916096e-12
81,1,0,CADC0872,1,181,182,2.7613645109890102e-06,8.387918034430806e-10,2.8961902621255404e-05,-1.4544127293462146,-0.13217863367008856,1,1,1,30,43,3.2987976919972282e-12,6.519578720607465e-12,181,182,4.63420885880155e-12,4.608746172764179e-12
82,1,1,CADC0872,1,165,166,-7.583311739759037e-06,4.306874220481652e-10,2.0753009951526676e-05,-1.4463011708546298,0.02019903598823621,2,1,1,9,26,4.210050502464988e-12,9.279822016730595e-12,165,166,2.6102268002919104e-12,2.5945025424588264e-12
83,0,1,CADC0872,1,184,185,6.311814000000076e-08,7.821093261316576e-10,2.7966217587147132e-05,-1.4898144084296108,-0.016411185042013953,1,1,1,47,58,1.477979682258526e-12,1.4723699328012557e-12,184,185,4.2505941637590084e-12,4.2276179790900415e-12
84,0,1,CADC0872,1,177,178,2.7145980494382026e-06,7.429013812823033e-10,2.725621729591807e-05,-1.4306010913298026,-0.06102397542016246,1,1,1,43,56,1.427421743962808e-12,1.4108920922930563e-12,177,178,4.197182945097758e-12,4.173603265630917e-12
85,0,1,CADC0872,1,173,174,7.936907586206898e-06,5.965982205763822e-10,2.4425360193380612e-05,-1.4700929404093162,-0.032584429058581124,1,1,1,45,56,1.0256166462561637e-12,7.324357024993022e-13,173,174,3.4485446276091454e-12,3.4287254056113916e-12
86,0,0,CADC0872,1,176,177,3.284200141242938e-06,5.25711357488014e-10,2.2928396313044093e-05,-1.4530862609027564,-0.04251186694047595,1,1,1,51,64,1.0281426797197442e-12,1.0634296544059628e-12,176,177,2.986996349363716e-12,2.9701206637740902e-12
87,0,0,CADC0872,1,177,178,2.208765617977528e-07,5.141055765632126e-10,2.267389636924392e-05,-1.4957787948396222,0.015209388762065353,1,1,1,54,62,9.687954173582148e-13,1.017118662657163e-12,177,178,2.9045512800181503e-12,2.8882335761978235e-12
88,0,1,CADC0872,1,161,162,-3.433459209876543e-06,2.174100899063962e-10,1.4744832651013581e-05,-1.3995810314278638,-0.09512580029999125,1,1,1,41,51,6.194370348541968e-13,8.185023715281874e-13,161,162,1.3503732292322745e-12,1.3420375920147914e-12
89,0,1,CADC0872,1,180,181,3.0945816270718224e-06,2.778229699351285e-10,1.6668022376248732e-05,-1.50866547228592,-0.013380378368109756,1,1,1,58,63,7.235222004563904e-13,1.1707568306613525e-12,180,181,1.5434609440840472e-12,1.5349335355531961e-12
90,1,1,CADC0872,1,178,179,4.10232853631285e-06,2.429536738482512e-10,1.5586971285283464e-05,-1.4390862605150303,-0.11612296776401954,1,1,1,32,34,8.785147431729979e-13,1.5524453321279176e-12,178,179,1.364908280046355e-12,1.3572830941243083e-12
91,0,0,CADC0872,1,177,178,4.341548820224719e-07,2.586415198167186e-10,1.608233564556836e-05,-1.3704141178834812,-0.09826466302394227,1,1,1,51,57,5.635761055855879e-13,6.998270079582643e-13,177,178,1.4612515243882407e-12,1.4530422461613405e-12
92,0,1,CADC0872,1,171,172,-3.592388377906977e-06,2.7982358937546596e-10,1.6727928424508098e-05,-1.471195927967888,0.0407507457859605,1,1,1,48,56,6.32703271027755e-13,7.471556964289924e-13,171,172,1.6363952595056489e-12,1.6268813335782905e-12
93,0,1,CADC0872,1,184,185,1.7363352054054053e-06,4.906889083525272e-10,2.2151499009153472e-05,-1.4573953880218093,-0.04686660310161884,1,1,1,52,64,8.772932490443871e-13,9.471598148829386e-13,184,185,2.6667875453941695e-12,2.652372477581228e-12
94,0,0,CADC0872,1,175,176,6.039060977272728e-06,5.075165750489161e-10,2.2528128529660783e-05,-1.3201792493597653,-0.14724100031286674,1,1,1,52,59,9.04111810546067e-13,8.668689179994368e-13,175,176,2.900094714565235e-12,2.8836169036870235e-12
95,1,1,CADC0872,1,178,179,4.147243346368715e-06,6.280265481137711e-10,2.5060457859220593e-05,-0.8749599126935235,-0.2064508289548608,1,1,1,1,2,1.0047557932407453e-11,1.937868690898086e-11,178,179,3.528239034347029e-12,3.5085282017529116e-12
96,0,1,CADC0872,1,184,185,1.437770978378378e-06,9.426989031052217e-10,3.0703402142193e-05,-1.4942722552801424,-0.022970885164094842,1,1,1,46,63,1.3173679043932238e-12,6.08737514873977e-13,184,185,5.1233636038327266e-12,5.095669746514712e-12
97,1,1,CADC0872,1,170,171,-7.196355608187134e-06,6.804697576918915e-10,2.6085815258333243e-05,-1.3265286513853711,0.10168248827783448,2,1,1,1,2,5.470948589494119e-11,1.6092712328626835e-10,170,171,4.002763280540538e-12,3.979355308139716e-12
98,0,1,CADC0872,1,181,182,-5.298504725274738e-07,7.905372265744046e-10,2.8116493852797588e-05,-1.4850829787355693,-0.03242480948942064,1,1,1,51,64,1.1998542810252676e-12,7.806928749304099e-13,181,182,4.36760898659892e-12,4.343611135024201e-12
99,1,1,CADC0872,1,177,178,-6.080523601123596e-06,2.9846780421774486e-10,1.7276220773587747e-05,-0.36429658007764854,0.005443566561241839,1,1,1,1,1,6.760747639954245e-12,1.3071690773946318e-11,177,178,1.6862587808912139e-12,1.6767854169536228e-12
100,0,1,CADC0872,1,177,178,5.531299657303371e-06,4.201540447179883e-10,2.0497659493658984e-05,-1.4436734263109798,-0.0325044466133817,1,1,1,52,57,7.566201279780083e-13,6.878774364224371e-13,177,178,2.37375166507338e-12,2.360415981561732e-12
101,0,1,CADC0872,1,175,176,1.4944010170454544e-06,2.718116871940872e-10,1.6486712443482696e-05,-1.4919572667748202,-0.015243301351062576,1,1,1,50,57,7.106335581868915e-13,1.149226248322459e-12,175,176,1.5532096411090696e-12,1.5443845863300408e-12
102,0,1,CADC0872,1,169,170,1.544415882352919e-08,2.3654979389362953e-10,1.538017535314957e-05,-1.5192484455591122,-0.022740440911116752,1,1,1,50,56,6.547871452329411e-13,9.636567911954909e-13,169,170,1.3997029224475121e-12,1.3914693758448795e-12
103,0,0,CADC0872,1,163,164,-3.3772070701219508e-06,1.2333576515527495e-10,1.110566365217653e-05,-1.4473567245843493,-0.014694028258583673,1,1,1,45,55,4.307514363012865e-13,7.341146198410868e-13,163,164,7.566611359219322e-13,7.52047348507774e-13
104,1,0,CADC0872,1,174,175,-1.6305293142857126e-07,1.5586363234359536e-10,1.248453572799547e-05,-1.3450473096809599,0.056870202027428554,2,2,2,2,5,4.691100890963176e-12,9.22113355077834e-12,174,175,8.95768001974686e-13,8.906493276776878e-13
